County,Longitude,Latitude,Daily
Suffolk,-71.1480207,42.35823248,124855
Suffolk,-71.12670541,42.3568933,129613
Suffolk,-71.12200726,42.35718986,129613
Suffolk,-71.11912638,42.35600406,129613
Suffolk,-71.11432702,42.35211176,131418
Suffolk,-71.11051362,42.35027664,119415
Suffolk,-71.09412577,42.34776754,119415
Suffolk,-71.08554937,42.34758684,79776
Suffolk,-71.08554897,42.34758685,79776
Suffolk,-71.08545094,42.34758852,79776
Suffolk,-71.07887877,42.34770252,79776
Suffolk,-71.07841594,42.34771151,66389
Suffolk,-71.07811533,42.34771918,65899
Suffolk,-71.07613684,42.34776966,53314
Suffolk,-71.06752899,42.34765904,53314
Suffolk,-71.06407305,42.34697739,36866
Suffolk,-71.06338727,42.34682048,36866
Suffolk,-71.06284183,42.34669995,36866
Suffolk,-71.06123319,42.34633803,36866
Suffolk,-71.06011586,42.34619627,36866
Suffolk,-71.04833196,42.27775976,102645
Suffolk,-71.04831813,42.27777751,105577
Suffolk,-71.04623507,42.280498,105577
Suffolk,-71.04371679,42.28381842,105577
Suffolk,-71.04279494,42.28586217,105577
Suffolk,-71.04365541,42.2908371,109550
Suffolk,-71.04463234,42.29326388,109550
Suffolk,-71.04746109,42.29865927,111485
Suffolk,-71.0489295,42.30110037,117455
Suffolk,-71.0519354,42.3132174,117455
Suffolk,-71.05817444,42.32718482,124993
Suffolk,-71.06315711,42.33269931,124993
Suffolk,-71.06393695,42.33362668,128733
Suffolk,-71.06510939,42.3361373,128733
Suffolk,-71.06291664,42.34078987,130258
Suffolk,-71.06203992,42.3423683,132347
Suffolk,-71.05917496,42.34635815,132347
Suffolk,-71.05759603,42.34840221,132347
Suffolk,-71.05700323,42.34951069,132347
Suffolk,-71.05669349,42.35013024,134748
Suffolk,-71.05593666,42.35163321,137104
Suffolk,-71.05153856,42.35486718,137104
Suffolk,-71.05165882,42.35875886,137104
Suffolk,-71.05197812,42.35947776,139032
Suffolk,-71.05494733,42.36181693,140912
Suffolk,-71.05894742,42.36492326,140912
Suffolk,-71.06040915,42.36637511,140912
Suffolk,-71.06040944,42.36637537,140912
Suffolk,-71.06135886,42.36722195,144245
Suffolk,-71.06375971,42.36933702,144245
Suffolk,-71.06503794,42.37046372,144245
Suffolk,-71.06645564,42.37149749,144245
Suffolk,-71.0670647,42.37188329,144245
Suffolk,-71.06931218,42.37322384,146408
Suffolk,-71.07246447,42.37506797,147770
Suffolk,-71.07657503,42.38035808,149337
Suffolk,-71.07655057,42.38237262,150822
Suffolk,-71.07644047,42.38331759,150822
Suffolk,-71.02614555,42.38042741,8171
Suffolk,-71.02614489,42.38042766,8171
Suffolk,-71.02504051,42.38083657,8171
Suffolk,-71.02503993,42.38083679,8171
Suffolk,-71.02472627,42.38095579,8171
Suffolk,-71.02439375,42.38108195,8171
Suffolk,-71.0238697,42.38128077,8171
Suffolk,-71.02386927,42.38128094,8171
Suffolk,-71.02077645,42.38244258,8171
Suffolk,-71.02077585,42.38244281,8171
Suffolk,-71.01880418,42.38318876,8171
Suffolk,-71.01880365,42.38318896,8171
Suffolk,-71.01672777,42.38393912,8171
Suffolk,-71.0166273,42.38397752,8171
Suffolk,-71.01548176,42.38441599,8171
Suffolk,-71.01548148,42.38441609,8171
Suffolk,-71.01448652,42.38478101,8171
Suffolk,-71.01297765,42.38534009,8171
Suffolk,-71.01294351,42.38535289,8171
Suffolk,-71.01289577,42.38537078,8171
Suffolk,-71.01085428,42.38613392,8171
Suffolk,-71.01081774,42.38614967,8171
Suffolk,-71.00890909,42.38682519,8171
Suffolk,-71.00828625,42.38688218,8171
Suffolk,-71.00808325,42.38688355,8171
Suffolk,-71.00704648,42.38667049,8171
Suffolk,-71.01614426,42.40509732,20814
Suffolk,-71.01565095,42.40553012,20814
Suffolk,-71.01564895,42.40553187,20884
Suffolk,-71.01509305,42.40601962,20957
Suffolk,-71.01420642,42.40703489,21028
Suffolk,-71.01402877,42.40732786,21103
Suffolk,-71.01381935,42.40768034,21158
Suffolk,-71.01367496,42.40794475,21188
Suffolk,-71.01350527,42.40823944,21228
Suffolk,-71.01329529,42.4085649,21269
Suffolk,-71.01313678,42.40881237,21326
Suffolk,-71.01271396,42.40946441,21388
Suffolk,-71.0125173,42.40979211,21420
Suffolk,-71.01226554,42.41018725,21460
Suffolk,-71.01202833,42.41054579,21537
Suffolk,-71.01163051,42.41117767,21624
Suffolk,-71.01097262,42.4122012,21710
Suffolk,-71.01077018,42.4125312,21794
Suffolk,-71.01041055,42.41310585,21862
Suffolk,-71.01007985,42.41359622,21916
Suffolk,-71.00960795,42.41432625,21983
Suffolk,-71.00894252,42.41536043,22112
Suffolk,-71.00850601,42.41594501,22207
Suffolk,-71.00816337,42.41641493,22261
Suffolk,-71.00791063,42.41676328,22261
Suffolk,-71.00762112,42.41715788,22328
Suffolk,-71.00748473,42.41733369,22390
Suffolk,-71.0070156,42.41796919,22460
Suffolk,-71.00683589,42.4182267,22507
Suffolk,-71.00669122,42.41842301,22541
Suffolk,-71.00645769,42.41873992,22579
Suffolk,-71.00625611,42.41900183,22630
Suffolk,-71.00587346,42.4195246,22701
Suffolk,-71.00546286,42.42007538,22772
Suffolk,-71.00507612,42.42061036,22837
Suffolk,-71.00507608,42.42061041,22837
Suffolk,-71.00479549,42.42079846,22837
Suffolk,-71.00408248,42.42109845,22907
Suffolk,-71.00399844,42.42132496,22907
Suffolk,-71.00408419,42.42175368,23040
Suffolk,-71.00178984,42.42495313,23661
Suffolk,-70.99907855,42.42857097,23661
Suffolk,-70.99743765,42.43077433,23661
Suffolk,-71.00235302,42.40491843,59702
Suffolk,-71.00226667,42.40618938,59104
Suffolk,-71.0026238,42.40738833,58768
Suffolk,-71.00153971,42.40854906,58413
Suffolk,-71.00129237,42.40876053,58413
Suffolk,-71.00120109,42.40893025,58307
Suffolk,-71.00120088,42.40893063,58148
Suffolk,-71.00088161,42.40930145,58148
Suffolk,-70.99969407,42.40980072,57908
Suffolk,-70.99904017,42.41026317,57686
Suffolk,-70.9986847,42.41054388,57686
Suffolk,-70.99831746,42.41075853,57479
Suffolk,-70.99478254,42.41197379,56970
Suffolk,-70.99381988,42.41198751,56533
Suffolk,-70.99366094,42.41193192,56533
Suffolk,-70.99343655,42.41193074,56445
Suffolk,-70.99317211,42.41199395,56445
Suffolk,-70.99294849,42.41230552,56320
Suffolk,-70.99300334,42.41249776,56320
Suffolk,-70.99300351,42.4124982,55866
Suffolk,-70.99301122,42.41256712,55866
Suffolk,-70.99302263,42.41276443,55866
Suffolk,-70.99276158,42.41345481,55866
