County,Longitude,Latitude,Daily
Los Angeles,-117.8372237,33.99950912,13300
Los Angeles,-117.8242689,34.11318745,9900
Los Angeles,-118.3776324,34.15326784,17000
Los Angeles,-118.4697787,34.16018591,20600
Los Angeles,-118.2321439,34.07545998,11400
Los Angeles,-118.289405,34.1554256,15500
Los Angeles,-118.3772831,34.15430373,17000
Los Angeles,-118.4696197,34.16106087,20600
Los Angeles,-118.2320096,34.0751372,11400
Los Angeles,-118.4435149,34.26658193,15300
Los Angeles,-118.437099,34.26774791,18600
Los Angeles,-118.2830713,34.1521775,15500
Los Angeles,-118.1209984,33.77414482,3650
Los Angeles,-118.1209676,33.7739269,3650
Los Angeles,-118.122648,33.77535162,3600
Los Angeles,-118.1229152,33.77535125,3600
Los Angeles,-118.1326075,33.78272914,3750
Los Angeles,-118.1327271,33.78262296,3750
Los Angeles,-118.1676736,33.78991569,4450
Los Angeles,-118.1676726,33.78980335,4450
Los Angeles,-118.1893561,33.78991993,4100
Los Angeles,-118.1893526,33.7898075,4100
Los Angeles,-118.2073269,33.79001576,4800
Los Angeles,-118.2073159,33.7899284,4800
Los Angeles,-118.2246297,33.7898996,4000
Los Angeles,-118.2246376,33.78982704,4000
Los Angeles,-118.2407788,33.79129729,3950
Los Angeles,-118.2408229,33.7911933,3950
Los Angeles,-118.2633036,33.79121263,4500
Los Angeles,-118.2632881,33.79110348,4500
Los Angeles,-118.2820138,33.79063125,5900
Los Angeles,-118.2819478,33.79048094,5900
Los Angeles,-118.2916826,33.79106182,6600
Los Angeles,-118.2917991,33.79094756,6600
Los Angeles,-118.2976119,33.78996803,6150
Los Angeles,-118.2976048,33.78984427,6150
Los Angeles,-118.3075775,33.78953569,6700
Los Angeles,-118.3075771,33.78941528,6700
Los Angeles,-118.3331479,33.79213371,6150
Los Angeles,-118.3332679,33.79204635,6150
Los Angeles,-118.3511082,33.80510326,4950
Los Angeles,-118.3511096,33.80497019,4950
Los Angeles,-118.3834975,33.8186551,3700
Los Angeles,-118.3835348,33.818558,3700
Los Angeles,-118.385443,33.83830644,4750
Los Angeles,-118.385443,33.83830644,4750
Los Angeles,-118.39232,33.86253879,6750
Los Angeles,-118.3924405,33.86246938,6750
Los Angeles,-118.3929852,33.86485286,5750
Los Angeles,-118.3931262,33.86477876,5750
Los Angeles,-118.3954839,33.87283812,5650
Los Angeles,-118.3956609,33.87284146,5650
Los Angeles,-118.3959391,33.88737267,6350
Los Angeles,-118.3960996,33.88737813,6350
Los Angeles,-118.3961057,33.90187722,7850
Los Angeles,-118.3963099,33.90184888,7850
Los Angeles,-118.3958796,33.91638503,7100
Los Angeles,-118.3961077,33.9163699,7100
Los Angeles,-118.3960268,33.93110667,10350
Los Angeles,-118.3962386,33.93109017,10350
Los Angeles,-118.3961231,33.94466718,11600
Los Angeles,-118.3962975,33.94464769,11600
Los Angeles,-118.3962732,33.95179199,7250
Los Angeles,-118.3964737,33.95171924,7250
Los Angeles,-118.4192129,33.95979849,5950
Los Angeles,-118.4193877,33.95977907,5950
Los Angeles,-118.4302083,33.97213307,6900
Los Angeles,-118.4304092,33.97204253,6900
Los Angeles,-118.4330331,33.97601038,7100
Los Angeles,-118.4330331,33.97601038,7100
Los Angeles,-118.4426785,33.98472986,7100
Los Angeles,-118.4428636,33.98469791,7100
Los Angeles,-118.4477829,33.99047892,7000
Los Angeles,-118.4479153,33.99039824,7000
Los Angeles,-118.4527426,33.99411522,5400
Los Angeles,-118.4528031,33.99400415,5400
Los Angeles,-118.4858927,34.01482106,6350
Los Angeles,-118.4858927,34.01482106,6350
Los Angeles,-118.4948965,34.01143746,8150
